,Year,Month,Start Hour,End Hour,Solar Output,Wind Output,Nuclear Output,Hydro Output,Biofuel Output,Gas Output,Fossil Fuels Scaled,Total Output
0,2023,1,7,9,2.63,1467.98,9743.37,4698.02,41.01,2044.65,16895.36,34893.02
1,2023,1,11,13,79.91,1354.01,9722.25,4958.95,44.28,2542.27,17646.21,36347.88
2,2023,1,15,19,24.79,1335.19,9730.9,5372.56,45.7,2704.75,18200.1,37413.99
3,2023,1,21,1,0.0,1555.94,9741.84,4705.49,34.39,1486.04,16356.74,33880.44
4,2023,1,3,5,0.0,1565.71,9739.68,3970.89,23.15,825.7,14950.85,31075.98
5,2023,2,7,9,19.14,2283.4,9533.44,4703.63,51.0,1512.88,16381.37,34484.86
6,2023,2,11,13,191.24,2231.26,9479.08,4586.12,53.06,1622.77,16394.47,34558.0
7,2023,2,15,19,79.58,2180.68,9481.61,4857.23,56.36,1967.09,16947.25,35569.8
8,2023,2,21,1,0.0,2173.18,9503.34,4451.88,39.93,1354.26,15892.7,33415.29
9,2023,2,3,5,0.0,1940.29,9554.69,3984.45,28.85,824.57,14877.63,31210.48
10,2023,3,7,9,53.12,2042.18,8360.22,4448.14,39.37,1672.82,15057.66,31673.51
11,2023,3,11,13,247.96,1919.95,8371.94,4251.95,41.43,1383.54,14652.83,30869.6
12,2023,3,15,19,115.88,2010.11,8385.51,4405.84,39.53,1549.95,14941.3,31448.12
13,2023,3,21,1,0.03,2048.34,8349.85,4141.36,31.23,1080.45,14114.99,29766.25
14,2023,3,3,5,0.03,1947.96,8341.44,3611.09,17.1,931.86,13388.5,28237.98
15,2023,4,7,9,99.84,1610.37,8561.52,4951.11,14.31,929.47,14908.92,31075.54
16,2023,4,11,13,281.43,1448.81,8556.89,4834.17,17.06,975.58,14886.62,31000.56
17,2023,4,15,19,129.57,1584.52,8560.83,4929.76,16.71,1184.98,15153.2,31559.57
18,2023,4,21,1,0.07,1812.55,8538.33,4630.94,4.69,737.45,14364.58,30088.61
19,2023,4,3,5,0.0,1685.43,8564.64,4276.13,1.99,476.91,13741.03,28746.13
20,2023,5,7,9,147.66,875.65,8571.98,5319.66,14.15,885.73,15084.26,30899.09
21,2023,5,11,13,350.65,864.96,8587.48,5099.78,21.31,1109.82,15209.95,31243.95
22,2023,5,15,19,178.25,1030.05,8601.37,5442.45,29.29,1628.05,16047.8,32957.26
23,2023,5,21,1,3.16,1186.09,8591.88,5097.2,13.86,936.77,14937.81,30766.77
24,2023,5,3,5,0.01,1039.28,8592.76,4450.49,5.74,397.49,13706.3,28192.07
25,2023,6,7,9,162.73,529.2,8392.33,4303.67,55.53,2472.4,15437.6,31353.46
26,2023,6,11,13,389.2,795.6,8380.4,4495.47,67.87,3359.8,16697.04,34185.38
27,2023,6,15,19,191.6,1128.68,8386.8,5105.64,82.84,3765.92,17719.17,36380.65
28,2023,6,21,1,0.0,1160.24,8409.6,4308.92,53.44,2635.36,15697.38,32264.94
29,2023,6,3,5,0.0,891.93,8398.4,3606.8,30.4,1466.6,13725.18,28119.31
